Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,100928,2010-09-28,96742,CME,0,96,77713,9354,12436,471,14049,13523,654,26018,15455,29,1582,14002,0,52157,56570,25556,21143,6395.0,-5882.0,4577.0,113.0,-202.0,-36.0,48.0,9140.0,1308.0,-13.0,723.0,44.0,0.0,3927.0,6041.0,2468.0,354.0,100,12.0,16.0,0.6,18.1,17.4,0.8,33.5,19.9,0.0,2.0,18.0,0.0,67.1,72.8,32.9,27.2,78,7.0,12.0,,7.0,9.0,,22.0,16.0,,,4.0,0.0,41,45,24.6,23.4,39.0,36.7,24.1,23.4,38.5,36.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101005,2010-10-05,96742,CME,0,96,86536,7379,23953,537,14129,14132,1032,36427,12248,13,1306,15729,0,60823,67644,25713,18892,8823.0,-1975.0,11517.0,66.0,80.0,609.0,378.0,10409.0,-3207.0,-16.0,-276.0,1727.0,0.0,8666.0,11074.0,157.0,-2251.0,100,8.5,27.7,0.6,16.3,16.3,1.2,42.1,14.2,0.0,1.5,18.2,0.0,70.3,78.2,29.7,21.8,86,6.0,12.0,,8.0,9.0,,27.0,16.0,,,7.0,0.0,45,48,25.2,26.4,39.8,40.3,24.6,26.4,39.2,40.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101012,2010-10-12,96742,CME,0,96,92868,10404,25257,696,13269,14967,1648,38910,13444,208,1544,16552,0,66679,72772,26189,20096,6332.0,3025.0,1304.0,159.0,-860.0,835.0,616.0,2483.0,1196.0,195.0,238.0,823.0,0.0,5856.0,5128.0,476.0,1204.0,100,11.2,27.2,0.7,14.3,16.1,1.8,41.9,14.5,0.2,1.7,17.8,0.0,71.8,78.4,28.2,21.6,85,8.0,11.0,,7.0,10.0,4.0,28.0,15.0,6.0,,5.0,0.0,51,46,23.2,27.6,36.5,42.4,22.7,27.6,36.0,42.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101019,2010-10-19,96742,CME,0,96,90068,11574,21726,1437,12317,17321,1351,37602,11715,156,2379,16227,0,66816,69933,23252,20135,-2800.0,1170.0,-3531.0,741.0,-952.0,2354.0,-297.0,-1308.0,-1729.0,-52.0,835.0,-325.0,0.0,137.0,-2839.0,-2937.0,39.0,100,12.9,24.1,1.6,13.7,19.2,1.5,41.7,13.0,0.2,2.6,18.0,0.0,74.2,77.6,25.8,22.4,85,7.0,10.0,,6.0,10.0,4.0,33.0,11.0,6.0,,5.0,0.0,55,42,20.9,26.1,33.9,42.8,20.4,26.1,33.4,41.8,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101026,2010-10-26,96742,CME,0,96,86611,12215,17297,1478,11612,19060,1080,33315,10404,426,1760,16683,0,61886,66428,24725,20183,-3457.0,641.0,-4429.0,41.0,-705.0,1739.0,-271.0,-4287.0,-1311.0,270.0,-619.0,456.0,0.0,-4930.0,-3505.0,1473.0,48.0,100,14.1,20.0,1.7,13.4,22.0,1.2,38.5,12.0,0.5,2.0,19.3,0.0,71.5,76.7,28.5,23.3,81,8.0,11.0,,5.0,10.0,,28.0,11.0,10.0,,6.0,0.0,49,48,23.0,25.4,36.2,40.6,22.4,24.7,35.7,38.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101102,2010-11-02,96742,CME,0,96,91819,14810,21895,1418,8428,20053,943,38547,15407,222,2387,10650,0,66755,70588,25064,21231,5208.0,2595.0,4598.0,-60.0,-3184.0,993.0,-137.0,5232.0,5003.0,-204.0,627.0,-6033.0,0.0,4869.0,4160.0,339.0,1048.0,100,16.1,23.8,1.5,9.2,21.8,1.0,42.0,16.8,0.2,2.6,11.6,0.0,72.7,76.9,27.3,23.1,86,10.0,10.0,,5.0,10.0,,30.0,13.0,10.0,,5.0,0.0,55,47,21.5,23.9,34.8,39.3,21.1,23.3,34.5,38.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101109,2010-11-09,96742,CME,0,96,96533,13041,26539,1203,7638,21984,959,41831,14895,263,2034,11134,0,66969,76977,29564,19556,4714.0,-1769.0,4644.0,-215.0,-790.0,1931.0,16.0,3284.0,-512.0,41.0,-353.0,484.0,0.0,214.0,6389.0,4500.0,-1675.0,100,13.5,27.5,1.2,7.9,22.8,1.0,43.3,15.4,0.3,2.1,11.5,0.0,69.4,79.7,30.6,20.3,86,7.0,12.0,5.0,4.0,10.0,,31.0,14.0,9.0,,6.0,0.0,52,51,20.8,31.0,35.3,47.6,20.5,30.4,34.9,46.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101116,2010-11-16,96742,CME,0,96,98997,13868,30732,1386,7514,23064,1225,49233,11212,639,1534,10601,0,75399,78859,23598,20138,2464.0,827.0,4193.0,183.0,-124.0,1080.0,266.0,7402.0,-3683.0,376.0,-500.0,-533.0,0.0,8430.0,1882.0,-5966.0,582.0,100,14.0,31.0,1.4,7.6,23.3,1.2,49.7,11.3,0.6,1.5,10.7,0.0,76.2,79.7,23.8,20.3,91,7.0,14.0,5.0,4.0,10.0,4.0,36.0,13.0,9.0,,5.0,0.0,59,50,22.2,29.7,34.3,45.9,21.8,28.9,33.8,45.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101123,2010-11-23,96742,CME,0,96,93914,17114,20781,1811,7489,21196,1219,40030,15805,1026,1902,11267,0,70591,73105,23323,20809,-5083.0,3246.0,-9951.0,425.0,-25.0,-1868.0,-6.0,-9203.0,4593.0,387.0,368.0,666.0,0.0,-4808.0,-5754.0,-275.0,671.0,100,18.2,22.1,1.9,8.0,22.6,1.3,42.6,16.8,1.1,2.0,12.0,0.0,75.2,77.8,24.8,22.2,92,11.0,10.0,6.0,4.0,10.0,4.0,31.0,17.0,7.0,,6.0,0.0,57,52,26.3,26.0,36.9,40.4,25.8,25.3,36.5,39.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101130,2010-11-30,96742,CME,0,96,85587,22359,10563,2931,10751,20667,1020,26372,18090,851,2170,10267,0,66454,64389,19133,21198,-8327.0,5245.0,-10218.0,1120.0,3262.0,-529.0,-199.0,-13658.0,2285.0,-175.0,268.0,-1000.0,0.0,-4137.0,-8716.0,-4190.0,389.0,100,26.1,12.3,3.4,12.6,24.1,1.2,30.8,21.1,1.0,2.5,12.0,0.0,77.6,75.2,22.4,24.8,85,12.0,9.0,6.0,5.0,11.0,5.0,20.0,21.0,7.0,,5.0,0.0,51,52,29.8,22.8,39.3,36.4,29.4,21.6,39.0,34.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101207,2010-12-07,96742,CME,0,96,86269,23110,5424,10013,8413,21760,1019,22009,19666,1791,1746,5467,0,68101,65140,18168,21129,682.0,751.0,-5139.0,7082.0,-2338.0,1093.0,-1.0,-4363.0,1576.0,940.0,-424.0,-4800.0,0.0,1647.0,751.0,-965.0,-69.0,100,26.8,6.3,11.6,9.8,25.2,1.2,25.5,22.8,2.1,2.0,6.3,0.0,78.9,75.5,21.1,24.5,84,11.0,10.0,9.0,4.0,13.0,5.0,17.0,22.0,10.0,,4.0,0.0,49,59,29.4,21.9,42.5,35.7,28.3,19.2,38.8,30.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101214,2010-12-14,96742,CME,0,96,67820,21492,2138,1363,8281,22671,1045,17244,16625,12,673,4923,0,50110,48777,17710,19043,-18449.0,-1618.0,-3286.0,-8650.0,-132.0,911.0,26.0,-4765.0,-3041.0,-1779.0,-1073.0,-544.0,0.0,-17991.0,-16363.0,-458.0,-2086.0,100,31.7,3.2,2.0,12.2,33.4,1.5,25.4,24.5,0.0,1.0,7.3,0.0,73.9,71.9,26.1,28.1,65,8.0,5.0,,4.0,14.0,5.0,12.0,18.0,,,,0.0,29,43,38.2,24.9,56.5,38.9,37.7,24.0,54.4,38.0,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101221,2010-12-21,96742,CME,0,96,69207,22889,1982,1132,6956,21544,1081,18877,16951,12,445,4998,0,51392,47700,17815,21507,1387.0,1397.0,-156.0,-231.0,-1325.0,-1127.0,36.0,1633.0,326.0,0.0,-228.0,75.0,0.0,1282.0,-1077.0,105.0,2464.0,100,33.1,2.9,1.6,10.1,31.1,1.6,27.3,24.5,0.0,0.6,7.2,0.0,74.3,68.9,25.7,31.1,73,9.0,5.0,,4.0,14.0,5.0,18.0,18.0,,,4.0,0.0,36,46,37.6,22.6,54.5,36.0,37.0,21.7,52.3,35.1,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,101228,2010-12-28,96742,CME,0,96,82141,31061,1914,966,6948,22135,1081,23388,26422,27,1371,4998,0,64842,57543,17299,24598,12934.0,8172.0,-68.0,-166.0,-8.0,591.0,0.0,4511.0,9471.0,15.0,926.0,0.0,0.0,13450.0,9843.0,-516.0,3091.0,100,37.8,2.3,1.2,8.5,26.9,1.3,28.5,32.2,0.0,1.7,6.1,0.0,78.9,70.1,21.1,29.9,80,11.0,4.0,,4.0,14.0,5.0,17.0,25.0,,,4.0,0.0,38,52,37.9,21.6,58.2,35.2,37.7,20.8,56.6,34.4,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110104,2011-01-04,96742,CME,0,96,84270,33845,1305,991,6770,23262,1143,21392,26478,1609,1195,4573,0,66945,59361,17325,24909,2129.0,2784.0,-609.0,25.0,-178.0,1127.0,62.0,-1996.0,56.0,1582.0,-176.0,-425.0,0.0,2103.0,1818.0,26.0,311.0,100,40.2,1.5,1.2,8.0,27.6,1.4,25.4,31.4,1.9,1.4,5.4,0.0,79.4,70.4,20.6,29.6,71,10.0,,,,14.0,5.0,15.0,22.0,4.0,,,0.0,36,47,40.2,20.7,60.0,35.3,40.2,19.8,58.4,34.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110111,2011-01-11,96742,CME,0,96,86335,33877,4581,1377,6663,22412,1174,16562,20817,1151,6500,9341,0,67304,60853,19031,25482,2065.0,32.0,3276.0,386.0,-107.0,-850.0,31.0,-4830.0,-5661.0,-458.0,5305.0,4768.0,0.0,359.0,1492.0,1706.0,573.0,100,39.2,5.3,1.6,7.7,26.0,1.4,19.2,24.1,1.3,7.5,10.8,0.0,78.0,70.5,22.0,29.5,72,9.0,5.0,,,14.0,5.0,16.0,18.0,,,6.0,0.0,35,48,38.1,19.0,59.4,31.0,38.1,18.2,57.4,29.7,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110118,2011-01-18,96742,CME,0,96,90630,16884,18549,2223,7089,20723,1238,36460,18196,89,0,8228,0,63983,69246,26647,21384,4295.0,-16993.0,13968.0,846.0,426.0,-1689.0,64.0,19898.0,-2621.0,-1062.0,-6500.0,-1113.0,0.0,-3321.0,8393.0,7616.0,-4098.0,100,18.6,20.5,2.5,7.8,22.9,1.4,40.2,20.1,0.1,0.0,9.1,0.0,70.6,76.4,29.4,23.6,82,7.0,12.0,,,14.0,5.0,27.0,15.0,4.0,0.0,4.0,0.0,43,50,23.7,25.1,41.2,40.2,23.3,24.6,39.9,39.2,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110125,2011-01-25,96742,CME,0,96,96648,10726,24408,3749,7501,18513,1225,43366,18392,183,437,8229,0,67187,74699,29461,21949,6018.0,-6158.0,5859.0,1526.0,412.0,-2210.0,-13.0,6906.0,196.0,94.0,437.0,1.0,0.0,3204.0,5453.0,2814.0,565.0,100,11.1,25.3,3.9,7.8,19.2,1.3,44.9,19.0,0.2,0.5,8.5,0.0,69.5,77.3,30.5,22.7,81,7.0,12.0,,4.0,13.0,5.0,26.0,13.0,10.0,,5.0,0.0,46,53,27.3,25.9,44.9,40.7,27.3,25.9,44.2,38.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110201,2011-02-01,96742,CME,0,96,108587,8922,38568,3628,7565,18228,1241,53463,15906,134,1284,8229,0,76237,85934,32350,22653,11939.0,-1804.0,14160.0,-121.0,64.0,-285.0,16.0,10097.0,-2486.0,-49.0,847.0,0.0,0.0,9050.0,11235.0,2889.0,704.0,100,8.2,35.5,3.3,7.0,16.8,1.1,49.2,14.6,0.1,1.2,7.6,0.0,70.2,79.1,29.8,20.9,88,4.0,15.0,,4.0,12.0,5.0,30.0,15.0,9.0,,5.0,0.0,51,54,25.9,27.5,39.7,42.6,25.8,25.8,38.8,39.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110208,2011-02-08,96742,CME,0,96,111363,6079,42556,3626,6991,19387,1214,60675,8822,176,1020,14248,0,79781,90029,31582,21334,2776.0,-2843.0,3988.0,-2.0,-574.0,1159.0,-27.0,7212.0,-7084.0,42.0,-264.0,6019.0,0.0,3544.0,4095.0,-768.0,-1319.0,100,5.5,38.2,3.3,6.3,17.4,1.1,54.5,7.9,0.2,0.9,12.8,0.0,71.6,80.8,28.4,19.2,88,4.0,16.0,4.0,4.0,13.0,5.0,33.0,11.0,8.0,,5.0,0.0,50,55,28.0,31.8,42.6,49.4,28.0,31.8,42.3,46.5,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,110215,2011-02-15,96742,CME,0,96,132763,4001,47705,3654,6820,19565,1212,80744,12270,196,1022,26910,0,97649,111512,35114,21251,21400.0,-2078.0,5149.0,28.0,-171.0,178.0,-2.0,20069.0,3448.0,20.0,2.0,12662.0,0.0,17868.0,21483.0,3532.0,-83.0,100,3.0,35.9,2.8,5.1,14.7,0.9,60.8,9.2,0.1,0.8,20.3,0.0,73.6,84.0,26.4,16.0,90,,17.0,5.0,4.0,13.0,5.0,33.0,12.0,8.0,,6.0,0.0,51,57,30.0,37.5,43.4,53.9,30.0,37.5,43.4,51.0,"(CONTRACTS OF GBP 62,500)",F10,FutOnly
