Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,100928,2010-09-28,20601,CBT,0,20,676868,21407,157259,8760,341826,147893,70842,50378,138695,8099,23571,23525,1521,526404,556594,150464,120274,10454.0,2058.0,36.0,3071.0,2964.0,-1547.0,-574.0,1448.0,471.0,-379.0,-20.0,1011.0,-10.0,8558.0,2079.0,1896.0,8375.0,100,3.2,23.2,1.3,50.5,21.8,10.5,7.4,20.5,1.2,3.5,3.5,0.2,77.8,82.2,22.2,17.8,159,12.0,18.0,6.0,46.0,23.0,35.0,26.0,23.0,14.0,,8.0,,118,98,20.6,23.9,30.1,39.6,19.0,22.3,28.2,37.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101005,2010-10-05,20601,CBT,0,20,674322,23709,160612,8581,343188,149520,56827,58903,132710,8430,22126,34803,6206,527970,557689,146352,116633,-2546.0,2302.0,3353.0,-179.0,1362.0,1627.0,-14015.0,8525.0,-5985.0,331.0,-1445.0,11278.0,4685.0,1566.0,1095.0,-4112.0,-3641.0,100,3.5,23.8,1.3,50.9,22.2,8.4,8.7,19.7,1.3,3.3,5.2,0.9,78.3,82.7,21.7,17.3,163,11.0,18.0,7.0,46.0,24.0,36.0,26.0,25.0,15.0,5.0,8.0,,119,105,21.6,23.1,31.1,38.6,20.0,20.9,29.4,36.3,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101012,2010-10-12,20601,CBT,0,20,692890,28894,166815,5674,334059,152182,61514,79909,128177,6343,18424,43884,4540,539357,569129,153533,123761,18568.0,5185.0,6203.0,-2907.0,-9129.0,2662.0,4687.0,21006.0,-4533.0,-2087.0,-3702.0,9081.0,-1666.0,11387.0,11440.0,7181.0,7128.0,100,4.2,24.1,0.8,48.2,22.0,8.9,11.5,18.5,0.9,2.7,6.3,0.7,77.8,82.1,22.2,17.9,165,10.0,23.0,6.0,44.0,23.0,36.0,29.0,24.0,12.0,4.0,8.0,,116,105,21.4,21.7,31.5,36.0,19.8,19.6,29.6,33.8,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101019,2010-10-19,20601,CBT,0,20,695529,28455,155627,14376,326441,159412,71701,80175,133147,7449,18439,23577,4549,551585,569838,143944,125691,2639.0,-439.0,-11188.0,8702.0,-7618.0,7230.0,10187.0,266.0,4970.0,1106.0,15.0,-20307.0,9.0,12228.0,709.0,-9589.0,1930.0,100,4.1,22.4,2.1,46.9,22.9,10.3,11.5,19.1,1.1,2.7,3.4,0.7,79.3,81.9,20.7,18.1,169,12.0,21.0,8.0,43.0,23.0,37.0,35.0,23.0,12.0,5.0,7.0,,125,104,20.6,22.3,30.8,36.3,19.4,19.0,28.2,32.7,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101026,2010-10-26,20601,CBT,0,20,667626,31777,128326,5895,314820,138238,73261,59902,138346,14142,18025,27818,5116,522938,531142,144688,136484,-27903.0,3322.0,-27301.0,-8481.0,-11621.0,-21174.0,1560.0,-20273.0,5199.0,6693.0,-414.0,4241.0,567.0,-28647.0,-38696.0,744.0,10793.0,100,4.8,19.2,0.9,47.2,20.7,11.0,9.0,20.7,2.1,2.7,4.2,0.8,78.3,79.6,21.7,20.4,152,13.0,12.0,7.0,42.0,21.0,35.0,30.0,23.0,13.0,4.0,7.0,,117,93,19.8,23.3,29.2,36.6,18.0,20.9,26.9,32.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101102,2010-11-02,20601,CBT,0,20,675492,25818,120192,7566,318420,145359,73294,62618,137769,26205,17789,31302,5151,536861,546838,138631,128654,7866.0,-5959.0,-8134.0,1671.0,3600.0,7121.0,33.0,2716.0,-577.0,12063.0,-236.0,3484.0,35.0,13923.0,15696.0,-6057.0,-7830.0,100,3.8,17.8,1.1,47.1,21.5,10.9,9.3,20.4,3.9,2.6,4.6,0.8,79.5,81.0,20.5,19.0,157,9.0,16.0,9.0,44.0,22.0,35.0,28.0,26.0,15.0,4.0,8.0,,118,101,19.9,21.6,28.8,35.5,18.2,17.9,26.2,30.3,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101109,2010-11-09,20601,CBT,0,20,681718,33907,113243,11992,306340,165110,66289,83447,134206,17761,20417,27691,4936,545089,541228,136629,140490,6226.0,8089.0,-6949.0,4426.0,-12080.0,19751.0,-7005.0,20829.0,-3563.0,-8444.0,2628.0,-3611.0,-215.0,8228.0,-5610.0,-2002.0,11836.0,100,5.0,16.6,1.8,44.9,24.2,9.7,12.2,19.7,2.6,3.0,4.1,0.7,80.0,79.4,20.0,20.6,163,10.0,19.0,10.0,42.0,26.0,36.0,32.0,25.0,21.0,,7.0,4.0,125,109,19.3,19.3,28.8,30.3,18.2,17.0,26.8,26.3,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101116,2010-11-16,20601,CBT,0,20,647423,33982,147045,12814,304039,153630,43179,63960,98244,16350,20148,20833,9668,504140,501763,143283,145660,-34295.0,75.0,33802.0,822.0,-2301.0,-11480.0,-23110.0,-19487.0,-35962.0,-1411.0,-269.0,-6858.0,4732.0,-40949.0,-39465.0,6654.0,5170.0,100,5.2,22.7,2.0,47.0,23.7,6.7,9.9,15.2,2.5,3.1,3.2,1.5,77.9,77.5,22.1,22.5,163,11.0,24.0,12.0,42.0,26.0,35.0,21.0,28.0,18.0,4.0,6.0,4.0,115,117,20.2,21.6,31.0,31.6,18.8,19.5,28.8,28.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101123,2010-11-23,20601,CBT,0,20,626882,34502,108053,21169,299371,155341,41011,49862,113765,20494,23515,20600,4444,494368,484877,132514,142005,-20541.0,520.0,-38992.0,8355.0,-4668.0,1711.0,-2168.0,-14098.0,15521.0,4144.0,3367.0,-233.0,-5224.0,-9772.0,-16886.0,-10769.0,-3655.0,100,5.5,17.2,3.4,47.8,24.8,6.5,8.0,18.1,3.3,3.8,3.3,0.7,78.9,77.3,21.1,22.7,164,11.0,23.0,15.0,40.0,26.0,34.0,23.0,29.0,21.0,4.0,6.0,4.0,117,121,22.0,21.2,31.3,31.5,20.1,18.6,29.2,27.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101130,2010-11-30,20601,CBT,0,20,634661,21453,97213,53949,297029,151325,40652,46797,110094,15879,22285,24815,50,498094,493977,136567,140684,7779.0,-13049.0,-10840.0,32780.0,-2342.0,-4016.0,-359.0,-3065.0,-3671.0,-4615.0,-1230.0,4215.0,-4394.0,3726.0,9100.0,4053.0,-1321.0,100,3.4,15.3,8.5,46.8,23.8,6.4,7.4,17.3,2.5,3.5,3.9,0.0,78.5,77.8,21.5,22.2,144,6.0,17.0,15.0,40.0,26.0,31.0,17.0,29.0,16.0,,6.0,,102,105,21.6,22.9,31.8,34.3,18.8,17.7,27.7,26.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101207,2010-12-07,20601,CBT,0,20,593469,22633,95826,33057,282853,149633,47902,54970,96759,8441,26008,19436,200,476064,451254,117405,142215,-41192.0,1180.0,-1387.0,-20892.0,-14176.0,-1692.0,7250.0,8173.0,-13335.0,-7438.0,3723.0,-5379.0,150.0,-22030.0,-42723.0,-19162.0,1531.0,100,3.8,16.1,5.6,47.7,25.2,8.1,9.3,16.3,1.4,4.4,3.3,0.0,80.2,76.0,19.8,24.0,142,10.0,13.0,9.0,39.0,25.0,29.0,19.0,25.0,13.0,6.0,5.0,,99,96,21.8,21.0,31.8,33.0,20.0,17.9,29.9,27.1,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101214,2010-12-14,20601,CBT,0,20,579262,28487,89625,11965,286402,143191,49576,52133,108948,11360,21778,27246,50,461751,441961,117511,137301,-14207.0,5854.0,-6201.0,-21092.0,3549.0,-6442.0,1674.0,-2837.0,12189.0,2919.0,-4230.0,7810.0,-150.0,-14313.0,-9293.0,106.0,-4914.0,100,4.9,15.5,2.1,49.4,24.7,8.6,9.0,18.8,2.0,3.8,4.7,0.0,79.7,76.3,20.3,23.7,146,8.0,15.0,4.0,43.0,23.0,32.0,19.0,28.0,14.0,4.0,6.0,,98,99,21.9,17.6,32.2,28.6,19.8,16.3,30.1,25.6,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101221,2010-12-21,20601,CBT,0,20,537120,24104,64694,9816,289043,142888,48604,27409,94494,7186,21537,30241,50,427749,397973,109371,139147,-42142.0,-4383.0,-24931.0,-2149.0,2641.0,-303.0,-972.0,-24724.0,-14454.0,-4174.0,-241.0,2995.0,0.0,-34002.0,-43988.0,-8140.0,1846.0,100,4.5,12.0,1.8,53.8,26.6,9.0,5.1,17.6,1.3,4.0,5.6,0.0,79.6,74.1,20.4,25.9,137,9.0,11.0,6.0,40.0,21.0,31.0,16.0,29.0,10.0,4.0,7.0,,91,94,24.9,17.8,35.4,28.5,22.2,16.5,32.7,26.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,101228,2010-12-28,20601,CBT,0,20,529597,21693,72589,7040,283060,148316,47421,23100,87902,9004,20843,23523,50,412211,395845,117386,133752,-7523.0,-2411.0,7895.0,-2776.0,-5983.0,5428.0,-1183.0,-4309.0,-6592.0,1818.0,-694.0,-6718.0,0.0,-15538.0,-2128.0,8015.0,-5395.0,100,4.1,13.7,1.3,53.4,28.0,9.0,4.4,16.6,1.7,3.9,4.4,0.0,77.8,74.7,22.2,25.3,129,8.0,13.0,7.0,39.0,22.0,30.0,17.0,22.0,13.0,,5.0,,93,87,25.0,17.0,35.6,27.9,22.3,15.5,32.8,25.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,110104,2011-01-04,20601,CBT,0,20,538630,21129,81115,3315,296843,156066,47439,38316,81282,4188,20464,26992,50,431744,400447,106886,138183,9033.0,-564.0,8526.0,-3725.0,13783.0,7750.0,18.0,15216.0,-6620.0,-4816.0,-379.0,3469.0,0.0,19533.0,4602.0,-10500.0,4431.0,100,3.9,15.1,0.6,55.1,29.0,8.8,7.1,15.1,0.8,3.8,5.0,0.0,80.2,74.3,19.8,25.7,133,8.0,14.0,5.0,40.0,23.0,33.0,16.0,23.0,9.0,,6.0,,89,92,25.0,17.0,36.3,27.9,22.2,16.4,33.4,26.4,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,110111,2011-01-11,20601,CBT,0,20,548390,28598,77777,2243,294813,171092,48680,25156,70583,8433,20836,26151,50,428809,405009,119581,143381,9760.0,7469.0,-3338.0,-1072.0,-2030.0,15026.0,1241.0,-13160.0,-10699.0,4245.0,372.0,-841.0,0.0,-2935.0,4562.0,12695.0,5198.0,100,5.2,14.2,0.4,53.8,31.2,8.9,4.6,12.9,1.5,3.8,4.8,0.0,78.2,73.9,21.8,26.1,145,10.0,16.0,4.0,42.0,25.0,33.0,13.0,30.0,11.0,,6.0,,90,104,24.4,16.6,35.0,26.8,21.6,15.6,32.2,25.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,110118,2011-01-18,20601,CBT,0,20,559990,23734,83186,4925,291649,159693,49611,37891,79572,7794,20826,27504,40,436470,412325,123520,147665,11600.0,-4864.0,5409.0,2682.0,-3164.0,-11399.0,931.0,12735.0,8989.0,-639.0,-10.0,1353.0,-10.0,7661.0,7316.0,3939.0,4284.0,100,4.2,14.9,0.9,52.1,28.5,8.9,6.8,14.2,1.4,3.7,4.9,0.0,77.9,73.6,22.1,26.4,151,8.0,16.0,5.0,42.0,23.0,32.0,19.0,33.0,12.0,,7.0,,94,108,23.8,16.9,34.1,26.4,21.2,15.9,31.4,24.8,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,110125,2011-01-25,20601,CBT,0,20,567906,20970,92797,2779,297801,155163,49863,37763,95524,5238,21281,24931,0,435695,426295,132211,141611,7916.0,-2764.0,9611.0,-2146.0,6152.0,-4530.0,252.0,-128.0,15952.0,-2556.0,455.0,-2573.0,-40.0,-775.0,13970.0,8691.0,-6054.0,100,3.7,16.3,0.5,52.4,27.3,8.8,6.6,16.8,0.9,3.7,4.4,0.0,76.7,75.1,23.3,24.9,145,8.0,16.0,5.0,40.0,23.0,31.0,18.0,32.0,12.0,,6.0,0.0,89,104,23.5,18.0,34.4,27.6,21.1,16.9,30.9,26.2,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
U.S. TREASURY BONDS - CHICAGO BOARD OF TRADE,110201,2011-02-01,20601,CBT,0,20,560523,15307,79445,5965,300091,148961,54228,29152,98216,5903,25281,23389,0,435927,416107,124596,144416,-7383.0,-5663.0,-13352.0,3186.0,2290.0,-6202.0,4365.0,-8611.0,2692.0,665.0,4000.0,-1542.0,0.0,232.0,-10188.0,-7615.0,2805.0,100,2.7,14.2,1.1,53.5,26.6,9.7,5.2,17.5,1.1,4.5,4.2,0.0,77.8,74.2,22.2,25.8,142,9.0,16.0,7.0,40.0,22.0,32.0,16.0,32.0,16.0,,5.0,0.0,93,104,22.9,18.2,34.0,28.3,20.3,16.8,30.1,26.0,"(CONTRACTS OF $100,000 FACE VALUE)",F30,FutOnly
