Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
U.S. DOLLAR INDEX - ICE FUTURES U.S.,100928,2010-09-28,98662,ICUS,1,98,33147,12663,7565,100,401,400,742,13581,18642,604,2333,1531,1,30425,29585,2722,3562,4446.0,-519.0,459.0,0.0,-34.0,400.0,-127.0,4293.0,3118.0,-7.0,1749.0,169.0,0.0,5355.0,4012.0,-909.0,434.0,100,38.2,22.8,0.3,1.2,1.2,2.2,41.0,56.2,1.8,7.0,4.6,0.0,91.8,89.3,8.2,10.7,82,7.0,4.0,,,,,12.0,36.0,,11.0,7.0,,34,54,66.8,44.2,78.1,58.8,66.5,44.2,77.5,58.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101005,2010-10-05,98662,ICUS,1,98,34586,14890,7389,129,416,828,740,13050,18863,589,1829,2098,1,31644,30637,2942,3949,1439.0,2227.0,-176.0,29.0,15.0,428.0,-2.0,-531.0,221.0,-15.0,-504.0,567.0,0.0,1219.0,1052.0,220.0,387.0,100,43.1,21.4,0.4,1.2,2.4,2.1,37.7,54.5,1.7,5.3,6.1,0.0,91.5,88.6,8.5,11.4,79,7.0,,,,,,15.0,33.0,4.0,9.0,6.0,,36,52,69.8,43.3,80.3,57.9,69.5,43.3,78.8,57.9,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101012,2010-10-12,98662,ICUS,1,98,34984,16916,7454,129,299,915,662,11128,20809,523,1757,778,0,31414,31270,3570,3714,398.0,2026.0,65.0,0.0,-117.0,87.0,-78.0,-1922.0,1946.0,-66.0,-72.0,-1320.0,-1.0,-230.0,633.0,628.0,-235.0,100,48.4,21.3,0.4,0.9,2.6,1.9,31.8,59.5,1.5,5.0,2.2,0.0,89.8,89.4,10.2,10.6,78,9.0,4.0,,,,,13.0,35.0,,8.0,,0.0,34,49,67.4,42.9,77.6,60.7,67.3,42.9,76.4,60.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101019,2010-10-19,98662,ICUS,1,98,37745,18709,7824,129,269,810,927,9515,23089,630,3260,895,0,33439,34304,4306,3441,2761.0,1793.0,370.0,0.0,-30.0,-105.0,265.0,-1613.0,2280.0,107.0,1503.0,117.0,0.0,2025.0,3034.0,736.0,-273.0,100,49.6,20.7,0.3,0.7,2.1,2.5,25.2,61.2,1.7,8.6,2.4,0.0,88.6,90.9,11.4,9.1,86,8.0,5.0,,,,,13.0,32.0,4.0,17.0,5.0,0.0,43,50,62.5,48.8,72.3,67.5,62.2,48.8,70.9,67.5,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101026,2010-10-26,98662,ICUS,1,98,38585,20048,7423,129,333,762,992,8959,24170,660,2974,1060,0,34095,35196,4490,3389,840.0,1339.0,-401.0,0.0,64.0,-48.0,65.0,-556.0,1081.0,30.0,-286.0,165.0,0.0,656.0,892.0,184.0,-52.0,100,52.0,19.2,0.3,0.9,2.0,2.6,23.2,62.6,1.7,7.7,2.7,0.0,88.4,91.2,11.6,8.8,85,10.0,,,4.0,,,15.0,31.0,,14.0,5.0,0.0,44,48,63.7,52.3,73.0,69.0,63.4,52.3,71.4,69.0,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101102,2010-11-02,98662,ICUS,1,98,40266,19594,7565,129,360,727,1083,10364,25684,500,3533,1098,92,35655,36878,4611,3388,1681.0,-454.0,142.0,0.0,27.0,-35.0,91.0,1405.0,1514.0,-160.0,559.0,38.0,92.0,1560.0,1682.0,121.0,-1.0,100,48.7,18.8,0.3,0.9,1.8,2.7,25.7,63.8,1.2,8.8,2.7,0.2,88.5,91.6,11.5,8.4,85,9.0,4.0,,4.0,,,14.0,30.0,,15.0,6.0,,43,48,61.0,52.3,71.6,70.7,60.9,52.3,70.5,70.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101109,2010-11-09,98662,ICUS,1,98,38371,18014,7666,133,284,786,1034,11647,22685,566,2530,1243,3,34211,34116,4160,4255,-1895.0,-1580.0,101.0,4.0,-76.0,59.0,-49.0,1283.0,-2999.0,66.0,-1003.0,145.0,-89.0,-1444.0,-2762.0,-451.0,867.0,100,46.9,20.0,0.3,0.7,2.0,2.7,30.4,59.1,1.5,6.6,3.2,0.0,89.2,88.9,10.8,11.1,88,8.0,,,,,,20.0,30.0,,14.0,7.0,,48,48,63.9,47.4,72.0,68.2,63.8,47.4,70.4,68.2,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101116,2010-11-16,98662,ICUS,1,98,32813,15480,7375,153,1209,707,888,7812,18523,798,1502,1057,31,27873,29532,4940,3281,-5558.0,-2534.0,-291.0,20.0,925.0,-79.0,-146.0,-3835.0,-4162.0,232.0,-1028.0,-186.0,28.0,-6338.0,-4584.0,780.0,-974.0,100,47.2,22.5,0.5,3.7,2.2,2.7,23.8,56.5,2.4,4.6,3.2,0.1,84.9,90.0,15.1,10.0,73,7.0,,,5.0,,,21.0,19.0,,11.0,5.0,,48,33,57.5,64.4,66.8,76.7,57.3,64.4,63.9,75.0,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101123,2010-11-23,98662,ICUS,1,98,33749,14930,7046,186,1275,511,820,9131,20512,695,1703,807,72,28812,30649,4937,3100,936.0,-550.0,-329.0,33.0,66.0,-196.0,-68.0,1319.0,1989.0,-103.0,201.0,-250.0,41.0,939.0,1117.0,-3.0,-181.0,100,44.2,20.9,0.6,3.8,1.5,2.4,27.1,60.8,2.1,5.0,2.4,0.2,85.4,90.8,14.6,9.2,76,7.0,,,5.0,,,24.0,19.0,,14.0,4.0,,52,32,55.0,67.7,65.7,78.2,54.7,67.7,63.1,77.6,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101130,2010-11-30,98662,ICUS,1,98,34435,15439,7046,186,1275,312,768,9033,21165,1343,1280,650,0,29324,31470,5111,2965,686.0,509.0,0.0,0.0,0.0,-199.0,-52.0,-98.0,653.0,648.0,-423.0,-157.0,-72.0,512.0,821.0,174.0,-135.0,100,44.8,20.5,0.5,3.7,0.9,2.2,26.2,61.5,3.9,3.7,1.9,0.0,85.2,91.4,14.8,8.6,64,7.0,,,4.0,,,23.0,17.0,,8.0,,0.0,45,26,52.4,72.1,64.6,80.5,52.2,72.1,62.1,79.1,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101207,2010-12-07,98662,ICUS,1,98,35071,14818,7716,320,976,297,820,9471,19475,1799,1042,1350,189,29435,31966,5636,3105,636.0,-621.0,670.0,134.0,-299.0,-15.0,52.0,438.0,-1690.0,456.0,-238.0,700.0,189.0,111.0,496.0,525.0,140.0,100,42.3,22.0,0.9,2.8,0.8,2.3,27.0,55.5,5.1,3.0,3.8,0.5,83.9,91.1,16.1,8.9,65,5.0,,5.0,4.0,,,21.0,17.0,6.0,8.0,4.0,,44,34,58.4,69.2,67.6,77.1,56.5,68.6,62.7,75.0,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101214,2010-12-14,98662,ICUS,1,98,25202,11926,4527,0,1026,346,801,5728,14895,849,1184,1587,0,21514,23005,3688,2197,-9869.0,-2892.0,-3189.0,-320.0,50.0,49.0,-19.0,-3743.0,-4580.0,-950.0,142.0,237.0,-189.0,-7921.0,-8961.0,-1948.0,-908.0,100,47.3,18.0,0.0,4.1,1.4,3.2,22.7,59.1,3.4,4.7,6.3,0.0,85.4,91.3,14.6,8.7,66,,4.0,0.0,5.0,,,17.0,21.0,6.0,9.0,5.0,0.0,37,36,63.9,58.7,70.5,70.1,61.6,58.7,66.3,68.5,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101221,2010-12-21,98662,ICUS,1,98,27089,11778,4477,0,1306,376,735,6852,17719,544,900,1052,2,22117,24905,4972,2184,1887.0,-148.0,-50.0,0.0,280.0,30.0,-66.0,1124.0,2824.0,-305.0,-284.0,-535.0,2.0,603.0,1900.0,1284.0,-13.0,100,43.5,16.5,0.0,4.8,1.4,2.7,25.3,65.4,2.0,3.3,3.9,0.0,81.6,91.9,18.4,8.1,68,4.0,5.0,0.0,5.0,,,19.0,21.0,4.0,7.0,5.0,,39,35,58.4,58.6,66.6,69.6,56.7,58.6,63.5,68.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,101228,2010-12-28,98662,ICUS,1,98,26398,11431,4395,0,1225,437,730,7147,17195,549,772,882,2,21856,24190,4542,2208,-691.0,-347.0,-82.0,0.0,-81.0,61.0,-5.0,295.0,-524.0,5.0,-128.0,-170.0,0.0,-261.0,-715.0,-430.0,24.0,100,43.3,16.6,0.0,4.6,1.7,2.8,27.1,65.1,2.1,2.9,3.3,0.0,82.8,91.6,17.2,8.4,70,5.0,4.0,0.0,5.0,,,18.0,24.0,4.0,7.0,4.0,,39,37,59.7,57.4,67.5,68.7,57.7,57.4,64.4,67.9,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110104,2011-01-04,98662,ICUS,1,98,27677,10876,2822,175,1074,188,727,8818,19488,580,1317,1129,2,23569,25111,4108,2566,1279.0,-555.0,-1573.0,175.0,-151.0,-249.0,-3.0,1671.0,2293.0,31.0,545.0,247.0,0.0,1713.0,921.0,-434.0,358.0,100,39.3,10.2,0.6,3.9,0.7,2.6,31.9,70.4,2.1,4.8,4.1,0.0,85.2,90.7,14.8,9.3,82,5.0,5.0,,5.0,,,14.0,34.0,5.0,10.0,5.0,,40,51,65.6,49.2,71.4,66.6,63.0,49.2,68.0,65.7,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110111,2011-01-11,98662,ICUS,1,98,36538,10809,14151,0,1276,180,627,13930,16664,1961,1912,971,15,30530,34569,6008,1969,8861.0,-67.0,11329.0,-175.0,202.0,-8.0,-100.0,5112.0,-2824.0,1381.0,595.0,-158.0,13.0,6961.0,9458.0,1900.0,-597.0,100,29.6,38.7,0.0,3.5,0.5,1.7,38.1,45.6,5.4,5.2,2.7,0.0,83.6,94.6,16.4,5.4,80,4.0,5.0,0.0,4.0,,,22.0,25.0,7.0,13.0,4.0,,50,39,57.4,56.1,66.0,72.0,54.9,55.6,61.8,71.2,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110118,2011-01-18,98662,ICUS,1,98,33014,10718,12778,0,817,237,719,12554,13980,660,2247,1032,0,27715,29406,5299,3608,-3524.0,-91.0,-1373.0,0.0,-459.0,57.0,92.0,-1376.0,-2684.0,-1301.0,335.0,61.0,-15.0,-2815.0,-5163.0,-709.0,1639.0,100,32.5,38.7,0.0,2.5,0.7,2.2,38.0,42.3,2.0,6.8,3.1,0.0,83.9,89.1,16.1,10.9,80,4.0,4.0,0.0,4.0,,,21.0,28.0,5.0,12.0,4.0,0.0,44,42,52.4,55.6,64.7,68.5,52.3,55.6,62.7,68.4,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110125,2011-01-25,98662,ICUS,1,98,39190,11019,9368,102,460,240,816,17335,22521,593,3011,1011,1,33337,34652,5853,4538,6176.0,301.0,-3410.0,102.0,-357.0,3.0,97.0,4781.0,8541.0,-67.0,764.0,-21.0,1.0,5622.0,5246.0,554.0,930.0,100,28.1,23.9,0.3,1.2,0.6,2.1,44.2,57.5,1.5,7.7,2.6,0.0,85.1,88.4,14.9,11.6,96,6.0,4.0,,4.0,,,22.0,37.0,,16.0,4.0,,49,53,55.0,51.8,65.0,67.0,54.8,51.8,64.3,67.0,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110201,2011-02-01,98662,ICUS,1,98,42472,10939,5264,102,351,495,715,20790,29539,713,2757,996,0,36367,37824,6105,4648,3282.0,-80.0,-4104.0,0.0,-109.0,255.0,-101.0,3455.0,7018.0,120.0,-254.0,-15.0,-1.0,3030.0,3172.0,252.0,110.0,100,25.8,12.4,0.2,0.8,1.2,1.7,48.9,69.5,1.7,6.5,2.3,0.0,85.6,89.1,14.4,10.9,97,6.0,5.0,,,,,24.0,34.0,5.0,16.0,5.0,0.0,51,53,58.8,47.4,67.6,63.1,58.6,47.4,67.2,63.1,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110208,2011-02-08,98662,ICUS,1,98,44039,10658,2567,105,425,294,830,22384,34160,829,3176,984,1,38408,39770,5631,4269,1567.0,-281.0,-2697.0,3.0,74.0,-201.0,115.0,1594.0,4621.0,116.0,419.0,-12.0,1.0,2041.0,1946.0,-474.0,-379.0,100,24.2,5.8,0.2,1.0,0.7,1.9,50.8,77.6,1.9,7.2,2.2,0.0,87.2,90.3,12.8,9.7,108,6.0,7.0,,4.0,,,27.0,35.0,6.0,20.0,6.0,,58,59,59.5,52.9,67.7,64.2,59.2,52.9,66.6,64.2,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110215,2011-02-15,98662,ICUS,1,98,40052,10595,2610,396,441,289,775,17809,29778,1652,2795,1061,18,34481,36579,5571,3473,-3987.0,-63.0,43.0,291.0,16.0,-5.0,-55.0,-4575.0,-4382.0,823.0,-381.0,77.0,17.0,-3927.0,-3191.0,-60.0,-796.0,100,26.5,6.5,1.0,1.1,0.7,1.9,44.5,74.3,4.1,7.0,2.6,0.0,86.1,91.3,13.9,8.7,96,5.0,5.0,,4.0,,,25.0,31.0,7.0,16.0,7.0,,53,53,54.6,51.6,63.5,67.4,54.2,50.0,61.9,65.8,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
U.S. DOLLAR INDEX - ICE FUTURES U.S.,110222,2011-02-22,98662,ICUS,1,98,40335,13100,2639,634,248,308,788,16789,30633,780,2073,930,1,34413,36713,5922,3622,283.0,2505.0,29.0,238.0,-193.0,19.0,13.0,-1020.0,855.0,-872.0,-722.0,-131.0,-17.0,-68.0,134.0,351.0,149.0,100,32.5,6.5,1.6,0.6,0.8,2.0,41.6,75.9,1.9,5.1,2.3,0.0,85.3,91.0,14.7,9.0,96,6.0,5.0,,,,,28.0,31.0,7.0,14.0,6.0,,53,53,55.2,53.0,67.3,68.2,53.6,53.0,65.2,68.2,(U.S. DOLLAR INDEX X $1000),F90,FutOnly
