Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_MM_DD_YYYY,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Change_in_Open_Interest_All,Change_in_Dealer_Long_All,Change_in_Dealer_Short_All,Change_in_Dealer_Spread_All,Change_in_Asset_Mgr_Long_All,Change_in_Asset_Mgr_Short_All,Change_in_Asset_Mgr_Spread_All,Change_in_Lev_Money_Long_All,Change_in_Lev_Money_Short_All,Change_in_Lev_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Dealer_Spread_All,Pct_of_OI_Asset_Mgr_Long_All,Pct_of_OI_Asset_Mgr_Short_All,Pct_of_OI_Asset_Mgr_Spread_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_of_OI_Lev_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Traders_Tot_All,Traders_Dealer_Long_All,Traders_Dealer_Short_All,Traders_Dealer_Spread_All,Traders_Asset_Mgr_Long_All,Traders_Asset_Mgr_Short_All,Traders_Asset_Mgr_Spread_All,Traders_Lev_Money_Long_All,Traders_Lev_Money_Short_All,Traders_Lev_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Contract_Units,CFTC_SubGroup_Code,FutOnly_or_Combined
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,100928,2010-09-28,209742,CME,0,209,412807,79097,175019,3223,99272,89164,14768,166837,92968,7121,7109,17448,0,377427,399711,35380,13096,66742.0,-6639.0,47008.0,-1748.0,122.0,1510.0,-122.0,67526.0,17829.0,3150.0,886.0,1542.0,0.0,63175.0,69169.0,3567.0,-2427.0,100,19.2,42.4,0.8,24.0,21.6,3.6,40.4,22.5,1.7,1.7,4.2,0.0,91.4,96.8,8.6,3.2,251,18.0,30.0,4.0,38.0,18.0,9.0,66.0,54.0,13.0,13.0,14.0,0.0,145,132,25.8,31.6,37.4,45.3,25.3,31.6,36.7,45.2,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101005,2010-10-05,209742,CME,0,209,459878,82192,205991,3961,102346,89420,14961,203595,111893,4604,6722,16345,0,418381,447175,41497,12703,47071.0,3095.0,30972.0,738.0,3074.0,256.0,193.0,36758.0,18925.0,-2517.0,-387.0,-1103.0,0.0,40954.0,47464.0,6117.0,-393.0,100,17.9,44.8,0.9,22.3,19.4,3.3,44.3,24.3,1.0,1.5,3.6,0.0,91.0,97.2,9.0,2.8,243,22.0,29.0,4.0,35.0,19.0,10.0,64.0,50.0,8.0,12.0,12.0,0.0,141,124,26.2,36.5,37.3,49.4,25.8,36.5,36.9,49.3,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101012,2010-10-12,209742,CME,0,209,443019,92887,194785,4406,106747,86946,14601,174734,105080,7371,6146,15992,0,406892,429181,36127,13838,-16859.0,10695.0,-11206.0,445.0,4401.0,-2474.0,-360.0,-28861.0,-6813.0,2767.0,-576.0,-353.0,0.0,-11489.0,-17994.0,-5370.0,1135.0,100,21.0,44.0,1.0,24.1,19.6,3.3,39.4,23.7,1.7,1.4,3.6,0.0,91.8,96.9,8.2,3.1,238,24.0,28.0,5.0,38.0,16.0,11.0,65.0,41.0,13.0,10.0,16.0,0.0,146,121,25.6,35.5,37.4,48.8,25.2,35.5,36.4,48.8,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101019,2010-10-19,209742,CME,0,209,432080,94974,199645,4032,111696,85361,12861,153330,96160,6134,7292,13850,0,390319,418043,41761,14037,-10939.0,2087.0,4860.0,-374.0,4949.0,-1585.0,-1740.0,-21404.0,-8920.0,-1237.0,1146.0,-2142.0,0.0,-16573.0,-11138.0,5634.0,199.0,100,22.0,46.2,0.9,25.9,19.8,3.0,35.5,22.3,1.4,1.7,3.2,0.0,90.3,96.8,9.7,3.2,244,23.0,29.0,6.0,41.0,16.0,10.0,64.0,43.0,9.0,12.0,16.0,0.0,146,123,23.4,37.5,35.6,50.8,23.0,37.5,34.6,50.8,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101026,2010-10-26,209742,CME,0,209,453896,94336,210237,6074,117069,85653,11340,173630,105786,2028,8591,15874,0,413068,436992,40828,16904,21816.0,-638.0,10592.0,2042.0,5373.0,292.0,-1521.0,20300.0,9626.0,-4106.0,1299.0,2024.0,0.0,22749.0,18949.0,-933.0,2867.0,100,20.8,46.3,1.3,25.8,18.9,2.5,38.3,23.3,0.4,1.9,3.5,0.0,91.0,96.3,9.0,3.7,243,22.0,30.0,6.0,39.0,17.0,11.0,69.0,41.0,11.0,12.0,13.0,0.0,153,118,24.1,37.9,35.3,50.1,23.7,37.9,34.1,50.1,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101102,2010-11-02,209742,CME,0,209,442944,84128,198460,4625,123288,86251,10777,167546,106707,3098,8609,16967,120,402191,427005,40753,15939,-10952.0,-10208.0,-11777.0,-1449.0,6219.0,598.0,-563.0,-6084.0,921.0,1070.0,18.0,1093.0,120.0,-10877.0,-9987.0,-75.0,-965.0,100,19.0,44.8,1.0,27.8,19.5,2.4,37.8,24.1,0.7,1.9,3.8,0.0,90.8,96.4,9.2,3.6,243,19.0,30.0,5.0,40.0,18.0,10.0,66.0,46.0,9.0,11.0,13.0,,145,123,23.7,37.7,35.9,50.0,23.0,37.7,33.8,49.9,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101109,2010-11-09,209742,CME,0,209,435008,91262,193966,3924,131864,83384,11200,152329,105225,4665,9157,17271,45,404446,419680,30562,15328,-7936.0,7134.0,-4494.0,-701.0,8576.0,-2867.0,423.0,-15217.0,-1482.0,1567.0,548.0,304.0,-75.0,2255.0,-7325.0,-10191.0,-611.0,100,21.0,44.6,0.9,30.3,19.2,2.6,35.0,24.2,1.1,2.1,4.0,0.0,93.0,96.5,7.0,3.5,246,23.0,29.0,,39.0,19.0,11.0,72.0,39.0,14.0,12.0,13.0,,157,118,23.3,40.1,34.7,52.0,22.4,40.1,32.9,52.0,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101116,2010-11-16,209742,CME,0,209,465344,92780,190422,6152,117961,82774,14433,186259,119039,3965,7993,14823,45,429588,431653,35756,33691,30336.0,1518.0,-3544.0,2228.0,-13903.0,-610.0,3233.0,33930.0,13814.0,-700.0,-1164.0,-2448.0,0.0,25142.0,11973.0,5194.0,18363.0,100,19.9,40.9,1.3,25.3,17.8,3.1,40.0,25.6,0.9,1.7,3.2,0.0,92.3,92.8,7.7,7.2,252,21.0,30.0,4.0,39.0,18.0,10.0,78.0,43.0,12.0,12.0,11.0,,160,119,20.3,38.9,31.7,50.3,19.5,38.9,29.8,50.3,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101123,2010-11-23,209742,CME,0,209,413327,94293,175484,7173,110088,82482,14340,148263,98860,5955,7943,14789,95,388150,399178,25177,14149,-52017.0,1513.0,-14938.0,1021.0,-7873.0,-292.0,-93.0,-37996.0,-20179.0,1990.0,-50.0,-34.0,50.0,-41438.0,-32475.0,-10579.0,-19542.0,100,22.8,42.5,1.7,26.6,20.0,3.5,35.9,23.9,1.4,1.9,3.6,0.0,93.9,96.6,6.1,3.4,241,21.0,29.0,4.0,38.0,16.0,10.0,68.0,46.0,18.0,12.0,11.0,,154,120,21.8,37.6,32.1,51.3,19.6,37.6,28.4,51.2,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101130,2010-11-30,209742,CME,0,209,402007,93712,166632,7735,103865,80410,12957,146907,81003,7563,8631,17648,95,381465,374043,20542,27964,-11320.0,-581.0,-8852.0,562.0,-6223.0,-2072.0,-1383.0,-1356.0,-17857.0,1608.0,688.0,2859.0,0.0,-6685.0,-25135.0,-4635.0,13815.0,100,23.3,41.5,1.9,25.8,20.0,3.2,36.5,20.1,1.9,2.1,4.4,0.0,94.9,93.0,5.1,7.0,236,21.0,25.0,4.0,36.0,16.0,10.0,72.0,39.0,14.0,13.0,14.0,,153,112,21.9,34.3,32.6,48.6,19.8,34.3,29.2,48.6,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101207,2010-12-07,209742,CME,0,209,412606,97656,186260,8891,110524,78579,11301,143571,80822,3644,8707,16796,95,384389,386388,28217,26218,10599.0,3944.0,19628.0,1156.0,6659.0,-1831.0,-1656.0,-3336.0,-181.0,-3919.0,76.0,-852.0,0.0,2924.0,12345.0,7675.0,-1746.0,100,23.7,45.1,2.2,26.8,19.0,2.7,34.8,19.6,0.9,2.1,4.1,0.0,93.2,93.6,6.8,6.4,238,22.0,27.0,7.0,40.0,15.0,9.0,74.0,34.0,15.0,14.0,12.0,,163,107,22.6,37.1,33.0,53.5,20.4,37.1,29.8,53.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101214,2010-12-14,209742,CME,0,209,520747,97447,197343,82270,111475,56746,10741,143541,97341,23878,12212,13364,914,482478,482597,38269,38150,108141.0,-209.0,11083.0,73379.0,951.0,-21833.0,-560.0,-30.0,16519.0,20234.0,3505.0,-3432.0,819.0,98089.0,96209.0,10052.0,11932.0,100,18.7,37.9,15.8,21.4,10.9,2.1,27.6,18.7,4.6,2.3,2.6,0.2,92.7,92.7,7.3,7.3,248,24.0,27.0,22.0,38.0,15.0,9.0,69.0,44.0,24.0,19.0,11.0,,179,126,20.7,31.1,29.4,45.0,16.4,31.1,24.0,42.0,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101221,2010-12-21,209742,CME,0,209,333555,28855,212601,9660,105524,38031,11081,137704,42432,1449,13389,3558,105,307767,318917,25788,14638,-187192.0,-68592.0,15258.0,-72610.0,-5951.0,-18715.0,340.0,-5837.0,-54909.0,-22429.0,1177.0,-9806.0,-809.0,-174711.0,-163680.0,-12481.0,-23512.0,100,8.7,63.7,2.9,31.6,11.4,3.3,41.3,12.7,0.4,4.0,1.1,0.0,92.3,95.6,7.7,4.4,219,18.0,29.0,,39.0,14.0,11.0,61.0,35.0,7.0,17.0,6.0,,143,99,20.4,33.7,32.5,53.3,18.8,33.5,30.1,51.3,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,101228,2010-12-28,209742,CME,0,209,323261,27267,204981,10961,108839,37765,10242,126480,43200,1638,12427,3394,75,297929,312256,25332,11005,-10294.0,-1588.0,-7620.0,1301.0,3315.0,-266.0,-839.0,-11224.0,768.0,189.0,-962.0,-164.0,-30.0,-9838.0,-6661.0,-456.0,-3633.0,100,8.4,63.4,3.4,33.7,11.7,3.2,39.1,13.4,0.5,3.8,1.0,0.0,92.2,96.6,7.8,3.4,218,16.0,30.0,,40.0,14.0,9.0,59.0,39.0,8.0,14.0,6.0,,138,101,19.8,34.3,32.1,53.2,18.3,34.0,29.7,50.8,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,110104,2011-01-04,209742,CME,0,209,358757,27814,214595,13674,123963,37578,10511,138007,65421,1754,10767,3386,75,326565,346994,32192,11763,35496.0,547.0,9614.0,2713.0,15124.0,-187.0,269.0,11527.0,22221.0,116.0,-1660.0,-8.0,0.0,28636.0,34738.0,6860.0,758.0,100,7.8,59.8,3.8,34.6,10.5,2.9,38.5,18.2,0.5,3.0,0.9,0.0,91.0,96.7,9.0,3.3,236,19.0,32.0,4.0,42.0,14.0,10.0,71.0,36.0,6.0,15.0,7.0,,154,103,17.7,33.5,29.3,53.1,16.3,33.3,27.2,50.5,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,110111,2011-01-11,209742,CME,0,209,354431,30057,206664,8521,130273,37365,10492,132654,66015,3970,11864,4924,75,327906,338026,26525,16405,-4326.0,2243.0,-7931.0,-5153.0,6310.0,-213.0,-19.0,-5353.0,594.0,2216.0,1097.0,1538.0,0.0,1341.0,-8968.0,-5667.0,4642.0,100,8.5,58.3,2.4,36.8,10.5,3.0,37.4,18.6,1.1,3.3,1.4,0.0,92.5,95.4,7.5,4.6,245,19.0,32.0,4.0,43.0,16.0,13.0,70.0,41.0,10.0,14.0,10.0,,156,117,19.5,33.7,31.5,51.9,18.1,32.4,29.8,50.4,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,110118,2011-01-18,209742,CME,0,209,375996,31791,213783,8571,130480,37952,10411,146640,76003,2336,14213,7797,504,344946,357357,31050,18639,21565.0,1734.0,7119.0,50.0,207.0,587.0,-81.0,13986.0,9988.0,-1634.0,2349.0,2873.0,429.0,17040.0,19331.0,4525.0,2234.0,100,8.5,56.9,2.3,34.7,10.1,2.8,39.0,20.2,0.6,3.8,2.1,0.1,91.7,95.0,8.3,5.0,253,19.0,32.0,4.0,42.0,16.0,13.0,71.0,44.0,9.0,16.0,13.0,,156,125,20.3,32.9,33.4,51.3,19.6,31.6,31.3,49.9,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,110125,2011-01-25,209742,CME,0,209,383350,33283,216942,9824,120478,43240,13764,160158,76584,2765,10747,4887,250,351269,368256,32081,15094,7354.0,1492.0,3159.0,1253.0,-10002.0,5288.0,3353.0,13518.0,581.0,429.0,-3466.0,-2910.0,-254.0,6323.0,10899.0,1031.0,-3545.0,100,8.7,56.6,2.6,31.4,11.3,3.6,41.8,20.0,0.7,2.8,1.3,0.1,91.6,96.1,8.4,3.9,252,19.0,32.0,4.0,39.0,18.0,14.0,77.0,43.0,6.0,15.0,9.0,,158,119,22.5,31.8,34.4,52.3,21.5,31.5,32.6,50.6,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE,110201,2011-02-01,209742,CME,0,209,366300,38326,207194,12629,97858,41604,13525,156996,68286,3671,9433,3836,281,332719,351026,33581,15274,-17050.0,5043.0,-9748.0,2805.0,-22620.0,-1636.0,-239.0,-3162.0,-8298.0,906.0,-1314.0,-1051.0,31.0,-18550.0,-17230.0,1500.0,180.0,100,10.5,56.6,3.4,26.7,11.4,3.7,42.9,18.6,1.0,2.6,1.0,0.1,90.8,95.8,9.2,4.2,245,20.0,34.0,5.0,37.0,17.0,13.0,73.0,42.0,8.0,14.0,8.0,,154,119,20.0,32.2,33.0,50.8,19.0,30.8,30.9,48.3,(NASDAQ 100 STOCK INDEX X $20),F20,FutOnly
